Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1975,1975,MB,Manitoba,Manitoba,Fir,Sapin,Provincial land,Terres provinciales,,u,,u
1975,1975,MB,Manitoba,Manitoba,Fir,Sapin,Private land,Terres privées,,u,,u
1975,1975,MB,Manitoba,Manitoba,Fir,Sapin,Unspecified,Indéterminé,,u,,u
1975,1975,MB,Manitoba,Manitoba,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,,u,,u
1975,1975,MB,Manitoba,Manitoba,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privées,,u,,u
1975,1975,MB,Manitoba,Manitoba,Miscellaneous hardwoods,Feuillus divers,Unspecified,Indéterminé,,u,,u
1975,1975,MB,Manitoba,Manitoba,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,,u,,u
1975,1975,MB,Manitoba,Manitoba,Miscellaneous softwoods,Résineux divers,Private land,Terres privées,,u,,u
1975,1975,MB,Manitoba,Manitoba,Miscellaneous softwoods,Résineux divers,Unspecified,Indéterminé,,u,,u
1975,1975,MB,Manitoba,Manitoba,Pine,Pin,Provincial land,Terres provinciales,,u,,u
1975,1975,MB,Manitoba,Manitoba,Pine,Pin,Private land,Terres privées,,u,,u
1975,1975,MB,Manitoba,Manitoba,Pine,Pin,Unspecified,Indéterminé,,u,,u
1975,1975,MB,Manitoba,Manitoba,Spruce,Épinette,Provincial land,Terres provinciales,,u,,u
1975,1975,MB,Manitoba,Manitoba,Spruce,Épinette,Private land,Terres privées,,u,,u
1975,1975,MB,Manitoba,Manitoba,Spruce,Épinette,Unspecified,Indéterminé,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Douglas-fir,Douglas taxifolié,Private land,Terres privées,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Douglas-fir,Douglas taxifolié,Unspecified,Indéterminé,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Fir,Sapin,Provincial land,Terres provinciales,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Fir,Sapin,Private land,Terres privées,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Fir,Sapin,Unspecified,Indéterminé,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privées,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous hardwoods,Feuillus divers,Unspecified,Indéterminé,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous softwoods,Résineux divers,Private land,Terres privées,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous softwoods,Résineux divers,Unspecified,Indéterminé,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Pine,Pin,Provincial land,Terres provinciales,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Pine,Pin,Private land,Terres privées,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Pine,Pin,Unspecified,Indéterminé,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Spruce,Épinette,Provincial land,Terres provinciales,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Spruce,Épinette,Private land,Terres privées,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Spruce,Épinette,Unspecified,Indéterminé,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Douglas-fir,Douglas taxifolié,Private land,Terres privées,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Douglas-fir,Douglas taxifolié,Unspecified,Indéterminé,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fir,Sapin,Provincial land,Terres provinciales,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fir,Sapin,Private land,Terres privées,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fir,Sapin,Unspecified,Indéterminé,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privées,,u,,u
