Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Number of seedlings,Data qualifier,Nombre de semis,Qualificatifs de données
1977,1977,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1977,1977,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1977,1977,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1977,1977,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1977,1977,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1977,1977,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1977,1977,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1977,1977,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1977,1977,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1977,1977,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1977,1977,YK,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,0,a,0,a
1978,1978,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,a,0,a
1978,1978,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,a,0,a
1978,1978,AB,Alberta,Alberta,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,4560,a,4560,a
1978,1978,AB,Alberta,Alberta,Pine,Pin,Provincial land,Terres provinciales,3556881,a,3556881,a
1978,1978,AB,Alberta,Alberta,Spruce,Épinette,Provincial land,Terres provinciales,4373784,a,4373784,a
1978,1978,AB,Alberta,Alberta,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,a,0,a
1978,1978,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1978,1978,YK,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,0,a,0,a
1979,1979,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,a,0,a
1979,1979,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,a,0,a
1979,1979,AB,Alberta,Alberta,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,0,a,0,a
1979,1979,AB,Alberta,Alberta,Pine,Pin,Provincial land,Terres provinciales,3406846,a,3406846,a
1979,1979,AB,Alberta,Alberta,Spruce,Épinette,Provincial land,Terres provinciales,6097679,a,6097679,a
1979,1979,AB,Alberta,Alberta,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,a,0,a
1979,1979,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
